nazwa,lat,lon,data,PM25,temperatura,wilgotnosc
Mysłowice,50.2422,19.1383,2025-01-28,25.8,3.1,69.7
Piekary Śląskie,50.3802,18.9265,2025-01-28,24.2,4.0,53.4
Chorzów,50.3058,18.9742,2025-01-28,28.6,-4.6,87.0
Bytom,50.35,18.91,2025-01-28,41.4,1.0,47.4
Zabrze,50.3249,18.7858,2025-01-28,35.7,3.4,77.9
Gliwice,50.31,18.67,2025-01-28,25.1,0.5,54.4
Mikołów,50.179,18.904,2025-01-28,26.5,7.7,89.7
Ruda Śląska,50.2584,18.8563,2025-01-28,28.6,3.0,54.3
Tarnowskie Góry,50.4455,18.8615,2025-01-28,30.5,8.6,35.9
Pyskowice,50.3956,18.6345,2025-01-28,30.4,6.5,59.4
Katowice,50.2643,19.0235,2025-01-29,34.5,-0.8,82.1
Sosnowiec,50.2779,19.1267,2025-01-29,23.0,-9.4,54.2
Dąbrowa Górnicza,50.3215,19.1949,2025-01-29,31.9,-0.3,64.4
Czeladź,50.3173,19.0705,2025-01-29,28.4,-3.7,41.6
Mysłowice,50.2422,19.1383,2025-01-29,24.6,3.0,68.6
Piekary Śląskie,50.3802,18.9265,2025-01-29,25.2,4.1,51.9
Chorzów,50.3058,18.9742,2025-01-29,29.8,-4.4,84.8
Bytom,50.35,18.91,2025-01-29,43.3,1.0,49.3
Zabrze,50.3249,18.7858,2025-01-29,35.6,3.5,77.5
Gliwice,50.31,18.67,2025-01-29,25.1,0.5,54.7
Mikołów,50.179,18.904,2025-01-29,26.2,7.4,87.1
Ruda Śląska,50.2584,18.8563,2025-01-29,29.8,3.0,56.3
Tarnowskie Góry,50.4455,18.8615,2025-01-29,30.7,8.3,36.8
Pyskowice,50.3956,18.6345,2025-01-29,30.3,6.4,61.8
Katowice,50.2643,19.0235,2025-01-30,33.4,-0.8,80.3
Sosnowiec,50.2779,19.1267,2025-01-30,22.0,-9.8,54.7
Dąbrowa Górnicza,50.3215,19.1949,2025-01-30,32.8,-0.3,65.5
Czeladź,50.3173,19.0705,2025-01-30,29.3,-3.7,43.1
Mysłowice,50.2422,19.1383,2025-01-30,24.8,2.9,70.9
Piekary Śląskie,50.3802,18.9265,2025-01-30,24.6,4.2,53.1
Chorzów,50.3058,18.9742,2025-01-30,30.0,-4.2,84.7
Bytom,50.35,18.91,2025-01-30,42.9,1.0,50.3
Zabrze,50.3249,18.7858,2025-01-30,35.4,3.5,78.6
Gliwice,50.31,18.67,2025-01-30,25.5,0.5,54.0
Mikołów,50.179,18.904,2025-01-30,25.1,7.1,91.3
Ruda Śląska,50.2584,18.8563,2025-01-30,28.8,2.9,56.4
Tarnowskie Góry,50.4455,18.8615,2025-01-30,29.7,8.1,38.0
Pyskowice,50.3956,18.6345,2025-01-30,31.3,6.7,60.9
Katowice,50.2643,19.0235,2025-01-31,35.0,-0.8,81.8
Sosnowiec,50.2779,19.1267,2025-01-31,22.2,-9.8,55.0
Dąbrowa Górnicza,50.3215,19.1949,2025-01-31,32.4,-0.3,65.3
Czeladź,50.3173,19.0705,2025-01-31,29.2,-3.8,41.6
Mysłowice,50.2422,19.1383,2025-01-31,25.5,2.8,70.6
Piekary Śląskie,50.3802,18.9265,2025-01-31,25.5,4.1,52.8
Chorzów,50.3058,18.9742,2025-01-31,30.9,-4.0,87.3
Bytom,50.35,18.91,2025-01-31,44.5,1.0,51.0
Zabrze,50.3249,18.7858,2025-01-31,36.3,3.4,77.9
Gliwice,50.31,18.67,2025-01-31,26.7,0.5,52.4
Mikołów,50.179,18.904,2025-01-31,24.5,6.9,87.2
Ruda Śląska,50.2584,18.8563,2025-01-31,29.9,3.0,56.5
Tarnowskie Góry,50.4455,18.8615,2025-01-31,29.6,8.0,37.2
Pyskowice,50.3956,18.6345,2025-01-31,30.6,6.6,58.1
